"","name","pubpriv","reported"
"398","CREEKSIDE ELEMENTARY","PUBLIC","Y"
"399","OSCAR F. LOYA ELEMENTARY","PUBLIC","Y"
"400","OASIS CHARTER PUBLIC","PUBLIC","Y"
"401","DR. MARTIN LUTHER KING, JR. ACADEMY","PUBLIC","Y"
"402","CENTRAL CALIFORNIA CONNECTIONS ACADEMY","PUBLIC","Y"
"403","ALPAUGH ELEMENTARY","PUBLIC","Y"
"404","DIAMOND VALLEY ELEMENTARY","PUBLIC","Y"
"405","CREEKSIDE EARLY LEARNING CENTER","PUBLIC","Y"
"406","ALTA LOMA ELEMENTARY","PUBLIC","Y"
"407","CARNELIAN ELEMENTARY","PUBLIC","Y"
"408","JASPER ELEMENTARY","PUBLIC","Y"
"409","FLOYD M. STORK ELEMENTARY","PUBLIC","Y"
"410","DEER CANYON ELEMENTARY","PUBLIC","Y"
"411","HERMOSA ELEMENTARY","PUBLIC","Y"
"412","VICTORIA GROVES ELEMENTARY","PUBLIC","Y"
"413","BANYAN ELEMENTARY","PUBLIC","Y"
"414","ALTA VISTA ELEMENTARY","PUBLIC","Y"
"415","ALTA-DUTCH FLAT ELEMENTARY","PUBLIC","Y"
"416","LEARNING IN AN URBAN COMMUNITY WITH HIGH ACHIEVEMENT (L.U.C.H.A.)","PUBLIC","Y"
"417","ADELANTE DUAL LANGUAGE ACADEMY","PUBLIC","Y"
"418","ANTHONY P. RUSSO ACADEMY","PUBLIC","Y"
"419","A. J. DORSA ELEMENTARY","PUBLIC","Y"
"420","BEN PAINTER ELEMENTARY","PUBLIC","Y"
"421","CLYDE ARBUCKLE ELEMENTARY","PUBLIC","Y"
"422","DONALD J. MEYER ELEMENTARY","PUBLIC","Y"
"423","HORACE CURETON ELEMENTARY","PUBLIC","Y"
"424","LINDA VISTA ELEMENTARY","PUBLIC","Y"
"425","LYNDALE ELEMENTARY","PUBLIC","Y"
"426","CESAR CHAVEZ ELEMENTARY","PUBLIC","Y"
"427","APTITUD COMMUNITY ACADEMY AT GOSS","PUBLIC","Y"
"428","MILLARD MCCOLLAM ELEMENTARY","PUBLIC","Y"
